,G_ID,G_NAME,GENRE_ID,DEV_ID,PLATFORM,TOTAL_SHIPPED,CRITIC_SCORE,USER_SCORE,YEAR
2,1,Mario Kart Wii,401,201,301,37.14,8.2,9.1,2008
4,2,Wii Sports Resort,402,201,301,33.09,8.0,8.8,2009
6,3,New Super Mario Bros.,403,201,302,30.8,9.1,8.1,2006
8,4,New Super Mario Bros. Wii,403,201,301,30.22,8.6,9.2,2009
11,5,Wii Play,404,201,301,28.02,5.9,4.5,2007
14,6,Mario Kart DS,401,201,302,23.6,9.1,9.4,2005
28,7,Pokemon X/Y,405,202,303,16.37,8.9,9.7,2013
33,8,Pokemon Black / White Version,405,202,302,15.64,8.6,9.0,2011
43,9,Halo 3,406,203,304,14.5,9.6,9.5,2007
52,10,Super Smash Bros. Brawl,407,204,301,13.29,9.2,9.7,2008
57,11,Super Mario Galaxy,403,205,301,12.78,9.7,9.6,2007
63,12,Super Smash Bros. Ultimate,407,206,305,12.08,9.4,9.7,2018
71,13,The Legend of Zelda: Breath of the Wild,408,207,305,11.68,9.9,10.0,2017
84,14,Horizon: Zero Dawn,409,208,306,10.0,9.1,8.0,2017
90,15,Final Fantasy VII,405,209,307,9.9,9.6,9.5,1997
110,16,Final Fantasy X,405,209,308,8.6,9.0,10.0,2001
111,17,Pokemon Black 2 and White 2,405,202,302,8.52,8.0,8.3,2012
126,18,Pokemon Platinum Version,405,202,302,7.6,8.3,8.9,2009
127,19,The Legend of Zelda: Ocarina of Time,410,201,309,7.6,9.9,10.0,1998
132,20,Super Mario Galaxy 2,403,205,301,7.41,9.7,9.8,2010
136,21,The Legend of Zelda: Twilight Princess,410,201,301,7.26,9.5,9.6,2006
162,22,Final Fantasy XII,405,210,308,6.4,9.4,9.5,2006
233,23,God of War III,409,211,310,5.2,9.2,9.4,2010
255,24,Gears of War,406,212,304,5.0,9.4,9.4,2006
256,25,Gears of War 2,406,212,304,5.0,9.4,9.5,2008
285,26,Gran Turismo,401,213,311,4.67,7.7,9.5,2009
324,27,Animal Crossing: City Folk,411,201,301,4.32,7.1,8.8,2008
331,28,God of War II,409,211,308,4.24,9.3,9.8,2007
375,29,World of Warcraft: Wrath of the Lich King,412,214,312,4.0,9.3,9.3,2008
399,30,Monster Hunter Freedom Unite,405,215,311,3.8,7.7,9.7,2009
416,31,Banjo-Kazooie,403,216,309,3.65,9.3,9.4,1998
451,32,Fable II,405,217,304,3.5,9.0,9.3,2008
504,33,God of War: Chains of Olympus,409,218,311,3.26,8.9,9.5,2008
560,34,Crysis,406,219,312,3.0,9.2,8.5,2007
618,35,Metroid Prime,406,220,313,2.84,9.6,9.5,2002
728,36,Crisis Core: Final Fantasy VII,405,210,311,2.5,8.1,9.0,2008
766,37,Kirby Star Allies,403,221,305,2.42,8.1,10.0,2018
835,38,Resident Evil 4,409,222,308,2.3,9.6,9.3,2005
908,39,Devil May Cry,409,223,308,2.16,9.1,9.3,2001
954,40,Donkey Kong Country: Tropical Freeze,403,220,305,2.08,9.1,9.1,2018
998,41,Onimusha: Warlords,409,224,308,2.02,8.7,7.3,2001
1026,42,Donkey Kong Country: Tropical Freeze,403,220,314,1.98,8.8,9.1,2014
1080,43,Dissidia: Final Fantasy,407,210,311,1.9,8.1,10.0,2009
1083,44,Monster Hunter Tri,405,215,301,1.9,8.1,10.0,2010
1340,45,The Legend of Zelda: Breath of the Wild,408,207,314,1.61,10.0,10.0,2017
1362,46,Sonic Unleashed,403,225,301,1.6,6.7,8.2,2008
1394,47,AudioSurf,404,226,312,1.56,8.2,9.0,2008
1411,48,Yoshi's Woolly World,403,227,314,1.55,7.4,6.0,2015
1419,49,Sonic the Hedgehog (2006),403,228,304,1.54,4.8,4.8,2006
1481,50,Octopath Traveler,405,210,305,1.5,8.1,8.7,2018
1603,51,Metroid Prime 3: Corruption,406,220,301,1.41,9.0,9.4,2007
1771,52,Final Fantasy: Crystal Chronicles,405,210,313,1.3,7.7,7.5,2004
1774,53,Resident Evil: The Umbrella Chronicles,406,229,301,1.3,7.5,8.0,2007
1941,54,Final Fantasy IV,405,230,302,1.2,8.5,9.0,2008
1950,55,Sonic and the Black Knight,403,228,301,1.2,4.8,8.5,2009
2019,56,World of Warcraft,412,214,312,1.16,9.2,8.0,2004
2397,57,Devil May Cry 3: Dante's Awakening Special Edition,409,223,308,1.0,8.8,8.6,2006
2415,58,MotorStorm: Pacific Rift,401,231,310,1.0,8.0,8.7,2008
2425,59,Valkyria Chronicles,405,232,310,1.0,8.4,9.8,2008
2546,60,Red Steel,406,233,301,0.95,5.9,7.8,2006
3633,61,Phantasy Star Portable,405,234,311,0.64,7.1,9.1,2009
5781,62,Bionic Commando,410,235,304,0.38,7.1,8.0,2009
7278,63,The Conduit,406,236,301,0.27,6.6,8.2,2009
16763,64,Submarine Titans,413,237,312,0.03,6.1,9.0,2000
